Tanggal,No PO,No SO,Tanggal SPK,Deadline SPK,Nama Vendor (PIC),Kontak,Kategori Produk,Jenis Produk,Nama Produk,Qty,Satuan,Revisi,Tgl Revisi,Jumlah Harga,Sub Total,Metode Pembayaran,Nama Sales,Tanggal.1,Nilai Pembayaran,Tanggal.2,Nilai Pembayaran.1,Tanggal.3,Nilai Pembayaran.2,Tanggal.4,Nilai Pembayaran.3,Tanggal.5,Nilai Pembayaran.4,Tanggal.6,Nilai Pembayaran.5,Tanggal.7,Nilai Pembayaran.6,Tanggal.8,Nilai Pembayaran.7,Tanggal.9,Nilai Pembayaran.8,Tanggal.10,Nilai Pembayaran.9,Tanggal.11,Nilai Pembayaran.10,Tanggal.12,Nilai Pembayaran.11,Jumlah Penyelesaian,Kekurangan Pembayaran,Status Pengiriman,Hutang Vendor,Link Odoo Project - Core Process,Checklist Keuangan,Bulan
2025-12-16,P01000,S01641,01/10/2025,15/09/2025,Futastone,62 823-2220-4090,Street Furniture & Landscape,GUIDING BLOCK,GUIDING BLOCK UBIN STOP,40.0,PCS,,,360000.0,,,Fajar,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,,False,2025-12
2025-12-16,P01003,,,,Kembar Jaya,62 851-8598-1865,Street Furniture & Landscape,MANHOLE,Manhole Malang,29.0,PCS,,,46400000.0,46400000.0,,Fajar,22/12/2025,Rp13.920.000,,,,,,,,,,,,,,,,,,,,,,,13920000.0,32480000.0,Diterima Futake,,,False,2025-12
2026-01-17,P01044,,,,CV Mandiri Baru,87874843242,Street Furniture & Landscape,Tempat Sampah,Tempat Sampah Fiber 3 in 1,60.0,PCS,,,51000000.0,51000000.0,Transfer ,Swastika,19/01/2026,Rp 15.300.000,,,,,,,,,,,,,,,,,,,,,,,15300000.0,35700000.0,Diterima Futake,35700000.0,https://erp.futake.co.id/web#id=11070&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-01
2026-01-17,P01049,,,,Kembar Jaya,62 851-8598-1865,Street Furniture & Landscape,GRILL,Grill Chamber uk 100 x 50 x 3 Finishing anti karat dan beban 50 ton + Embossed Logo Austinville,23.0,PCS,,,27600000.0,27600000.0,,Santi,27/01/2026,Rp27.600.000,,,,,,,,,,,,,,,,,,,,,,,27600000.0,0.0,Diterima Futake,,https://erp.futake.co.id/web#id=10604&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-01
2026-01-31,P01072,,,,Bapak Antok,62 821-3706-6888,Mesin Tepat Guna,MESIN,Mesin Molen Pencuci Biji-bijian Stainless Steel,1.0,PCS,,,27000000.0,27000000.0,Transfer ,Fajar,03/02/2026,Rp8.100.000,,,,,,,,,,,,,,,,,,,,,,,8100000.0,18900000.0,Diterima Futake,18900000.0,https://erp.futake.co.id/web#id=11519&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-01
2026-02-10,P01091,,,,MF Antik,62 812-1506-204,Street Furniture & Landscape,Ornamen Cincin Prabumulih,Ornamen Cincin Prabumulih,6.0,PCS,,,360000.0,360000.0,Transfer ,Fajar,11/02/2026,Rp360.000,,,,,,,,,,,,,,,,,,,,,,,360000.0,0.0,Diterima Futake,0.0,,False,2026-02
2026-02-11,P01093,,,,Teknika Jaya (Bu Yusri),0858-0277-3253,Mesin Tepat Guna,"Gibolt Joint For PVC P.20 CM UK.4""","Gibolt Joint For PVC P.20 CM UK.4""",8.0,PCS,,,1280000.0,17450000.0,Transfer ,Anis,12/02/2026,Rp5.235.000,21/02/2026,Rp12.215.000,,,,,,,,,,,,,,,,,,,,,17450000.0,0.0,Diterima Futake,0.0,,False,2026-02
2026-02-11,P01093,,,,Teknika Jaya (Bu Yusri),0858-0277-3253,Mesin Tepat Guna,"Gibolt Joint For PVC P.20 CM UK.6""","Gibolt Joint For PVC P.20 CM UK.6""",43.0,PCS,,,14190000.0,,Transfer ,Anis,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,,False,2026-02
2026-02-11,P01093,,,,Teknika Jaya (Bu Yusri),0858-0277-3253,Mesin Tepat Guna,"Gibolt Joint For PVC P.20 CM UK.8""","Gibolt Joint For PVC P.20 CM UK.8""",2.0,PCS,,,980000.0,,Transfer ,Anis,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,,False,2026-02
2026-02-11,P01093,,,,Teknika Jaya (Bu Yusri),0858-0277-3253,Mesin Tepat Guna,"Gibolt Joint For PVC P.20 CM UK.2""","Gibolt Joint For PVC P.20 CM UK.2""",4.0,PCS,,,460000.0,,Transfer ,Anis,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,,False,2026-02
2026-02-11,P01093,,,,Teknika Jaya (Bu Yusri),0858-0277-3253,Mesin Tepat Guna,"Gibolt Joint For PVC P.20 CM UK.3""","Gibolt Joint For PVC P.20 CM UK.3""",4.0,PCS,,,540000.0,,Transfer ,Anis,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Diterima Futake,0.0,,False,2026-02
2026-02-11,P01096,,,,PT. Panca Karya Wijaya ,0816-1163-491 ,Street Furniture & Landscape,Tiang PJU Hexsagonal ,Tiang PJU Hexsagonal 7m,25.0,PCS,,,62500000.0,69375000.0,Transfer ,Anis,12/02/2026,Rp18.750.000,,,,,,,,,,,,,,,,,,,,,,,18750000.0,50625000.0,Diterima Futake,50625000.0,,False,2026-02
2026-02-11,P01096,,,,PT. Panca Karya Wijaya ,0816-1163-491 ,Street Furniture & Landscape,PAJAK ,PAJAK ,1.0,PCS,,,6875000.0,,,Anis,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Diterima Futake,0.0,,False,2026-02
2026-02-25,P01122,,,,Rosyid ,85777581230,Surat Dukungan,Jasa Bongkar Pasang Gudang ,Jasa Bongkar Pasang Gudang ,1.0,PCS,,,115000000.0,115000000.0,Transfer ,,09/01/2026,Rp34.500.000,24/01/2026,Rp23.000.000,4/3/2026,17.250.000,02/04/2026,13.800.000,16/02/2026,2.500.000,18/5/2026,7.500.000,22/5/2026,16.450.000,,,,,,,,,,,115000000.0,0.0,Diterima Futake,0.0,http://erp.futake.co.id/mail/view?model=project.task&res_id=11433&access_token=15a3cb1e-2022-4641-a260-95b4ebaebff9,False,2026-02
2026-02-26,P01126,S00009,27/02/2026,06/04/2026,Kembar Jaya,62 851-8598-1865,Street Furniture & Landscape,Manhole Drainase ,Manhole Drainase Top 20 MM Gandar 50 Ton Material FCD Sampel Awal ,1.0,PCS,,,2180000.0,96070000.0,Transfer ,Fajar,28/02/2026,Rp19.620.000,30/05/2026,Rp40.000.000,,,,,,,,,,,,,,,,,,,,,59620000.0,36450000.0,Diterima Futake,,http://erp.futake.co.id/mail/view?model=project.task&res_id=11852&access_token=7a9a0c0a-190d-493e-87ba-e020d1212105,False,2026-02
2026-02-26,P01126,S00009,27/02/2026,06/04/2026,Kembar Jaya,62 851-8598-1865,Street Furniture & Landscape,Manhole Drainase,Manhole Drainase Top 20 MM Gandar 50 Ton Material FCD ,30.0,PCS,,,93000000.0,,Transfer ,Fajar,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Diterima Futake,0.0,http://erp.futake.co.id/mail/view?model=project.task&res_id=11852&access_token=7a9a0c0a-190d-493e-87ba-e020d1212105,False,2026-02
2026-02-26,P01126,S00009,27/02/2026,06/04/2026,Kembar Jaya,62 851-8598-1865,Street Furniture & Landscape,Manhole Drainase,Manhole Drainase Top 20 MM Gandar 50 Ton Material FCD ,1.0,PCS,,,890000.0,,Transfer ,Fajar,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Diterima Futake,0.0,http://erp.futake.co.id/mail/view?model=project.task&res_id=11852&access_token=7a9a0c0a-190d-493e-87ba-e020d1212105,False,2026-02
2026-02-27,P01127,S00099,27/02/2026,31/03/2026,Inyong Teraso,6288215659022,Street Furniture & Landscape,Bathtub Terazzo ,Bathtub Terazzo Pink Glossy ,1.0,PCS,,,2700000.0,2700000.0,Transfer ,Santi,03/03/2026,Rp810.000,17/04/2026,Rp1.890.000,,,,,,,,,,,,,,,,,,,,,2700000.0,0.0,Diterima Futake,0.0,http://erp.futake.co.id/mail/view?model=project.task&res_id=12144&access_token=264ed98a-eabb-4f61-af5b-47fc37f99b0c,False,2026-02
2026-03-03,P00001,Order Direct Pak Fiky ,,,Pak Mujiyono Ngawen ,87838561570,Street Furniture & Landscape,Kursi Singa P 120 cm,Kursi Singa P 120 cm,5.0,PCS,,,3500000.0,3500000.0,Transfer ,,04/03/2026,Rp1.050.000,11/3.2026 ,Rp2.450.000,,,,,,,,,,,,,,,,,,,,,3500000.0,0.0,Diterima Futake,0.0,,False,2026-03
2026-03-05,P00002,S00095,05/03/2026,28/03/2026,Pak Giyanto Ukiran Batu Paras ,895363701739,Art & Craft,Lukisan Batu Wayang ,"Lukisan Batu Wayang Ukuran 2,4m x 3,2 m Motif Gunungan Wayang ",1.0,PCS,,,6800000.0,6800000.0,Transfer ,Fajar,06/03/2026,Rp2.040.000,16/03/2026,Rp4.760.000,,,,,,,,,,,,,,,,,,,,,6800000.0,0.0,Diterima Futake,0.0,http://futakesistem.com/mail/view?model=project.task&res_id=110986&access_token=d9d5c55d-bbb9-41f8-9304-d2a6ce37858c,False,2026-03
2026-03-05,P00005,S00001,,,CV Agung Mulia ,83866373384,Street Furniture & Landscape,Batu Andesit Bakar 30 x 30 x 30 ,[S-BTA-303] Batu Andesit Bakar 30 x 30 x 30 ,1340.0,PCS,,,268000000.0,268000000.0,Transfer ,Swastika,06/03/2026,Rp10.000.000,07/03/2026,Rp10.000.000,09/03/2026,10.000.000,10/3/2026,10.000.000,12/3/2026,10.000.000,13/3/2026,10.000.000,14/3/2026,10.000.000,6/4/2026,10.000.000,7/4/2026,10.000.000,8/4/2026,10.000.000,9/4/2026,10.000.000,10/4/2026,10.000.000,268000000.0,0.0,Diterima Futake,0.0,https://erp.futake.co.id/web#id=11975&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-03
2026-03-05,P00005,S00001,,,CV Agung Mulia ,83866373384,Street Furniture & Landscape,Batu Andesit Bakar 30 x 30 x 30 ,[S-BTA-303] Batu Andesit Bakar 30 x 30 x 30 ,,,,,,,Transfer ,Swastika,11/4/2026,Rp16.000.000,14/04/2026,Rp20.000.000,17/04/2026,46.000.000,21/4/2026,66.000.000,,,,,,,,,,,,,,,,,,0.0,Diterima Futake,0.0,https://erp.futake.co.id/web#id=11975&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-03
2026-03-05,P00005,S00001,,,CV Agung Mulia ,83866373384,Ongkir,Ongkir Kontainer,Ongkir Kontainer ,1.0,PCS,,,105000000.0,105000000.0,Transfer ,Swastika,16/3/2026,6.000.000,17/03/2026,Rp17.000.000,13/04/2026,27.000.000,15/4/2026,27.000.000,23/4/2026,28.000.000,,,,,,,,,,,,,,,105000000.0,0.0,Diterima Futake,0.0,https://erp.futake.co.id/web#id=11975&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-03
2026-03-05,P00005,S00001,,,CV Agung Mulia ,83866373384,Rawat Inap ,Biaya Inap ,Biaya Inap ,1.0,PCS,,,2250000.0,2250000.0,Transfer ,Swastika,16/3/2026,1.500.000,27/04/2026,Rp750.000,,,,,,,,,,,,,,,,,,,,,2250000.0,0.0,Diterima Futake,0.0,https://erp.futake.co.id/web#id=11975&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-03
2026-03-05,P00005,S00001,,,CV Agung Mulia ,83866373384,Rawat Inap ,Biaya Inap di Lokasi Bongkar,Biaya Inap di Lokasi Bongkar,1.0,PCS,,,1500000.0,1500000.0,Transfer ,Swastika,13/4/2026,1.500.000,,,,,,,,,,,,,,,,,,,,,,,1500000.0,0.0,Diterima Futake,0.0,https://erp.futake.co.id/web#id=11975&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-03
2026-03-05,P00005,S00001,,,CV Agung Mulia ,83866373384,Rawat Inap ,Biaya Inap di Pelabuhan ,Biaya Inap di Pelabuhan ,1.0,PCS,,,900000.0,900000.0,Transfer ,Swastika,13/4/2026,900.000,,,,,,,,,,,,,,,,,,,,,,,900000.0,0.0,Diterima Futake,0.0,https://erp.futake.co.id/web#id=11975&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-03
2026-03-06,P00008,STOCK ,,,Mr. Henry ,8617602505270,Street Furniture & Landscape,Tactile Stainless Indicator Strip ,Tactile Stainless Indicator Strip Pineapple surface & hollow type,15000.0,PCS,,,221040000.0,237095000.0,Transfer ,Stock,13/04/2026,Rp20.096.532,14/04/2026,Rp20.148.900,,,,,,,,,,,,,,,,,,,,,40245432.0,196849568.0,Belum Diterima Futake,0.0,STOCK ,False,2026-03
2026-03-06,P00008,STOCK ,,,Mr. Henry ,8617602505270,Street Furniture & Landscape,Tactile Stainless Indicator Stud ,Tactile Stainless Indicator Stud Pineapple surface & hollow type,5000.0,PCS,,,16055000.0,,,Stock,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Belum Diterima Futake,0.0,STOCK ,False,2026-03
2026-03-07,P00011,S00102,07/03/2026,12/03/2026,CV Mandiri Baru,87874843242,Street Furniture & Landscape,Tempat Sampah 3 in 1 Stainless Steel ,Tempat Sampah 3 in 1 Stainless Steel ,1.0,PCS,,,2850000.0,2850000.0,Transfer ,Santi,07/03/2026,Rp855.000,,,,,,,,,,,,,,,,,,,,,,,855000.0,1995000.0,Diterima Futake,1995000.0,https://erp.futake.co.id/web#id=12182&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-03
2026-03-07,P00011,S00102,07/03/2026,12/03/2026,CV Mandiri Baru,87874843242,Street Furniture & Landscape,Biaya Kirim ,Biaya Kirim ,1.0,PCS,,,269000.0,269000.0,Transfer ,Santi,16/03/2026,Rp269.000,,,,,,,,,,,,,,,,,,,,,,,,,Diterima Futake,0.0,https://erp.futake.co.id/web#id=12182&cids=1&menu_id=318&action=488&active_id=47&model=project.task&view_type=form,False,2026-03
2026-03-16,P00024,S00122,,,Swakarya Mandiri ,81210622702,Alat Usaha & Perlengkapan Rumah Tangga,Mesin Cetak Batako Paving Mobile Sekali Cetak 8 Buah ,Mesin Cetak Batako Paving Mobile Sekali Cetak 8 Buah + Cetakan Standart ,1.0,Unit ,,,24000000.0,,Transfer ,Swastika,17/03/2026,Rp7.200.000,04/05/2026,Rp16.800.000,,,,,,,,,,,,,,,,,,,,,24000000.0,0.0,Diterima Futake,0.0,http://futakesistem.com/mail/view?model=project.task&res_id=111207&access_token=98fe79b0-9123-424b-85c7-6372dfc50a70,False,2026-03
2026-03-16,P00025,S00122,16/03/2026,18/04/2026,Bapak Antok,0812-1706-3264,Alat Usaha & Perlengkapan Rumah Tangga,Alat Cetak Batako / Paving Genjot Manual ,Alat Cetak Batako / Paving Genjot Manual + Hopper ,1.0,Unit ,,,4500000.0,4500000.0,Transfer ,Swastika,17/03/2026,Rp1.350.000,28/04/2026,Rp3.150.000,,,,,,,,,,,,,,,,,,,,,4500000.0,0.0,Diterima Futake,0.0,http://futakesistem.com/mail/view?model=project.task&res_id=111215&access_token=a67b6c48-a331-4fe4-92af-2c73947125b6,False,2026-03
2026-03-16,P00026,S00122,,,Swakarya Mandiri ,81210622702,Alat Usaha & Perlengkapan Rumah Tangga,Cetakan Batako Custom ,Cetakan Batako Custom Uk. p x l x t 39cm x 19cm x 19cm dan tebal 3cm,1.0,Unit ,,,11000000.0,,Transfer ,Swastika,30/03/2026,Rp3.300.000,04/05/2026,Rp7.700.000,,,,,,,,,,,,,,,,,,,,,11000000.0,0.0,Diterima Futake,0.0,http://futakesistem.com/mail/view?model=project.task&res_id=111207&access_token=98fe79b0-9123-424b-85c7-6372dfc50a70,False,2026-03
2026-04-02,P00028 ,S00117,,,Futastone,62 823-2220-4090,Street Furniture & Landscape,Kanstin 10 x 20 x 40 ,Kanstin 10 x 20 x 40 ,5500.0,PCS,,,93500000.0,93500000.0,Transfer ,Syaiful ,07/04/2026,Rp6.120.000,25/04/2026,Rp9.350.000,,,,,,,,,,,,,,,,,,,,,15470000.0,78030000.0,Diterima Futake,78030000.0,https://futakesistem.com/web#cids=1&menu_id=337&action=506&active_id=84&model=project.task&view_type=form&id=111306,False,2026-04
2026-04-02,P00033,S00001,,,CV Agung Mulia ,83866373384,Street Furniture & Landscape,Batu Andesit Bakar 30 x 30 x 30 ,[S-BTA-303] Batu Andesit Bakar 30 x 30 x 30 Warna Light Grey,1000.0,PCS,,,200000000.0,200000000.0,Transfer ,Swastika,24/04/2026,Rp66.000.000,25/04/2026,Rp66.000.000,28/4/2026,66.000.000,,,,,,,,,,,,,,,,,,,198000000.0,2000000.0,Diterima Futake,2000000.0,https://futakesistem.com/web#id=110799&cids=1&menu_id=337&action=506&active_id=84&model=project.task&view_type=form,False,2026-04
